Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Project),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
BUG-006: Equipment Detail Mismatch,SCRUM-10,10009,Bug,To Do,SCRUM,QA Testing 1,software,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,Medium,,,,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,11/Jun/26 1:14 PM,11/Jun/26 1:14 PM,11/Jun/26 1:14 PM,,,0,"h3. Summary

Equipment specifications displayed in UI do not match master database records.

h3. Description

Several equipment records display incorrect serial number and capacity information.

h3. Steps to Reproduce

# Search equipment ID EQ-45872.
# Open Equipment Details page.
# Compare displayed data with Master Database.

h3. Expected Result

Equipment details should match master records.

h3. Actual Result

Incorrect capacity and serial number shown.

h3. Business Impact

Incorrect equipment information may affect operational decisions.

h3. Severity

Major

h3. Priority

Medium

h3. Module

Equipment Management",,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,,,,,,,,,,,0|i0001z:,SCRUM Sprint 0,,,,,,,,To Do,11/Jun/26 1:14 PM
BUG-005: Formula Calculation Mismatch,SCRUM-9,10008,Bug,To Do,SCRUM,QA Testing 1,software,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,Medium,,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,11/Jun/26 1:14 PM,11/Jun/26 1:14 PM,11/Jun/26 1:14 PM,,,0,"h3. Summary

Energy consumption formula returns incorrect calculation results.

h3. Description

Application-calculated energy efficiency value differs from expected business formula by approximately 12%.

h3. Formula

Expected:
Efficiency = Output Power / Input Power × 100

h3. Observed

System applies incorrect multiplier causing inaccurate results.

h3. Steps to Reproduce

# Enter sample values.
# Execute calculation.
# Compare with expected result.

h3. Expected Result

Calculation should match approved business formula.

h3. Actual Result

Calculated value differs significantly.

h3. Severity

Major

h3. Priority

High

h3. Module

Business Logic Engine",,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,,,,,,,,,,,0|i0001r:,SCRUM Sprint 0,,,,,,,,To Do,11/Jun/26 1:14 PM
BUG-004: Multi-Language Translation Display Issue,SCRUM-8,10007,Bug,To Do,SCRUM,QA Testing 1,software,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,Medium,,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,11/Jun/26 1:13 PM,11/Jun/26 1:13 PM,11/Jun/26 1:13 PM,,,0,"h3. Summary

Japanese language labels are displayed incorrectly on Equipment Registration page.

h3. Description

Several field labels appear in English while application language is configured as Japanese.

h3. Steps to Reproduce

# Login to application.
# Change language to Japanese.
# Navigate to Equipment Registration.
# Verify field labels.

h3. Expected Result

All labels should be translated into Japanese.

h3. Actual Result

Mixed English and Japanese labels displayed.

h3. Impact

User confusion and localization compliance issue.

h3. Severity

Minor

h3. Priority

Medium

h3. Module

Localization / UI",,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,,,,,,,,,,,0|i0001j:,SCRUM Sprint 0,,,,,,,,To Do,11/Jun/26 1:13 PM
BUG-003: Firewall Restriction Preventing Cross-Server Communication,SCRUM-7,10006,Bug,To Do,SCRUM,QA Testing 1,software,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,Medium,,,,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,11/Jun/26 1:13 PM,11/Jun/26 1:13 PM,11/Jun/26 1:13 PM,,,0,"h3. Summary

Application server unable to establish communication with external reporting server.

h3. Description

Users are unable to generate reports because requests from Application Server to Reporting Server are blocked.

h3. Steps to Reproduce

# Login to application.
# Open Reports Module.
# Generate monthly report.
# Observe error.

h3. Expected Result

Report should be generated successfully.

h3. Actual Result

Communication timeout error displayed.

h3. Technical Observation

Port 8443 connection blocked by firewall policy.

h3. Severity

Major

h3. Priority

High

h3. Module

Infrastructure / Network",,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,,,,,,,,,,,0|i0001b:,SCRUM Sprint 0,,,,,,,,To Do,11/Jun/26 1:13 PM
BUG-002: Database Synchronization Failure,SCRUM-6,10005,Bug,To Do,SCRUM,QA Testing 1,software,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,Medium,,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,11/Jun/26 1:11 PM,11/Jun/26 1:12 PM,11/Jun/26 1:12 PM,,30/Jun/26 12:00 AM,0,"h3. Summary

Customer master data synchronization fails between Application Server and Central Database.

h3. Description

Newly created customer records are not being synchronized to the reporting database resulting in inconsistent data across systems.

h3. Steps to Reproduce

# Create a new customer record.
# Verify successful save.
# Check Reporting Database.
# Verify synchronization status.

h3. Expected Result

Customer data should synchronize within 5 minutes.

h3. Actual Result

Records remain unavailable in Reporting Database.

h3. Error Log

Connection timeout during synchronization job execution.

h3. Severity

Major

h3. Priority

High

h3. Module

Data Synchronization",,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,,,,,,,,,,,0|i00013:,SCRUM Sprint 0,11/Jun/26 12:00 AM,,,,,,,To Do,11/Jun/26 1:11 PM
BUG-001: User Authority Verification Failure,SCRUM-5,10004,Bug,To Do,SCRUM,QA Testing 1,software,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,High,,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,11/Jun/26 1:09 PM,11/Jun/26 1:11 PM,11/Jun/26 4:50 PM,,30/Jun/26 12:00 AM,0,"h3. Summary

Unauthorized users are able to access restricted administrative functions despite lacking required permissions.

h3. Description

During validation of role-based access control, users assigned with ""Viewer"" role were able to access the User Management page and perform edit operations.

h3. Steps to Reproduce

# Login as Viewer role user.
# Navigate to Administration → User Management.
# Edit an existing user profile.
# Save changes.

h3. Expected Result

Viewer users should have read-only access and should not be able to modify user information.

h3. Actual Result

System allows user modifications without validating authority.

h3. Environment

* QA Environment
* Build 5.2.1

h3. Severity

Critical

h3. Priority

High

h3. Module

Authorization / Security",,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,,,,,,,,,,,0|i0000v:,SCRUM Sprint 0,11/Jun/26 12:00 AM,,,,,,,To Do,11/Jun/26 1:09 PM
Subtask 2.1,SCRUM-4,10003,Subtask,To Do,SCRUM,QA Testing 1,software,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,,,,,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,11/Jun/26 12:44 PM,11/Jun/26 12:44 PM,,,,0,,,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,,,,,,,,,,,0|i0000n:,SCRUM Sprint 0,,,,,10001,SCRUM-2,Task 2,To Do,11/Jun/26 12:44 PM
Task 3,SCRUM-3,10002,Feature,In Progress,SCRUM,QA Testing 1,software,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,,,,,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,11/Jun/26 12:44 PM,11/Jun/26 12:44 PM,,,,0,,,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,,,,,,,,,,,0|i0000f:,,,,,,,,,In Progress,11/Jun/26 12:44 PM
Task 2,SCRUM-2,10001,Story,In Progress,SCRUM,QA Testing 1,software,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,,,,,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,11/Jun/26 12:44 PM,11/Jun/26 12:44 PM,,,21/Jun/26 12:00 AM,0,,,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,,,,,,,,,,,0|i00007:,SCRUM Sprint 0,,,,,,,,In Progress,11/Jun/26 12:44 PM
Sprint 0 - Testing,SCRUM-1,10000,Task,In Progress,SCRUM,QA Testing 1,software,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,High,,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,11/Jun/26 12:44 PM,11/Jun/26 1:17 PM,11/Jun/26 1:15 PM,,18/Jun/26 12:00 AM,0,"*Summary:*
Perform comprehensive end-to-end functional testing of the application covering user authorization, data synchronization, system integrations, multilingual support, business rule validations, and equipment management functionalities.

*Description:*
Execute end-to-end testing to validate the application's core business functions and ensure system stability, data integrity, security compliance, and seamless integration across all modules.

*Scope:*

* Verify user authentication and role-based authorization controls.
* Validate data synchronization between application and backend databases.
* Verify communication between application servers and integrated systems.
* Validate multilingual support and localization functionality.
* Verify business formulas, calculations, and rule implementations.
* Validate equipment master data accuracy and consistency.
* Perform regression testing on impacted modules.
* Verify error handling, logging, and exception scenarios.
* Validate UI, functional, and integration workflows.

*Test Coverage:*

# User Authority Verification
# Database Synchronization Validation
# Cross-Server Connectivity Validation
# Multi-Language Support Testing
# Formula & Business Rule Validation
# Equipment Information Validation

*Expected Deliverables:*

* Test Execution Report
* Defect Log and Analysis Report
* Regression Summary
* Risk Assessment Report
* Release Readiness Recommendation

*Acceptance Criteria:*

* All critical and major test scenarios executed successfully.
* No open critical defects.
* Data integrity maintained across integrated systems.
* Business calculations match approved specifications.
* User authorization controls function as per requirements.
* Application ready for release recommendation based on test results.

*Priority:* High
*Type:* Testing Task
*Estimated Effort:* 5 Person-Days
*Assignee:* QC Team
*Status:* To Do",,Shinu n,712020:adcdff4a-16ee-4806-ad8e-9db2446c2fc2,,,,,,,,,,,,0|i0000b:,SCRUM Sprint 0,11/Jun/26 12:00 AM,,,,,,,In Progress,11/Jun/26 1:17 PM
